iter	Passed	Remaining
0	0	857
1	1	821
2	2	758
3	2	711
4	3	711
5	4	714
6	5	739
7	5	722
8	6	704
9	6	690
10	7	677
11	7	649
12	8	646
13	9	642
14	9	645
15	10	640
16	10	617
17	11	617
18	11	615
19	12	614
20	13	612
21	13	613
22	14	615
23	15	611
24	15	595
25	15	593
26	16	592
27	17	594
28	17	596
29	18	595
30	19	597
31	19	599
32	20	599
33	21	600
34	21	600
35	22	601
36	23	602
37	23	603
38	24	602
39	25	603
40	25	603
41	26	603
42	27	603
43	27	604
44	28	602
45	28	598
46	29	599
47	30	599
48	30	600
49	31	601
50	32	600
51	32	600
52	33	600
53	34	599
54	34	599
55	35	599
56	36	599
57	36	599
58	37	599
59	38	599
60	38	599
61	39	598
62	40	597
63	40	596
64	41	595
65	42	596
66	42	597
67	43	597
68	44	597
69	44	597
70	45	596
71	46	595
72	46	594
73	47	592
74	48	592
75	48	592
76	49	593
77	50	592
78	50	593
79	51	593
80	52	593
81	52	593
82	53	592
83	54	592
84	55	592
85	55	592
86	56	592
87	57	594
88	57	593
89	58	593
90	59	592
91	59	591
92	60	590
93	61	591
94	62	590
95	62	590
96	63	590
97	64	591
98	64	590
99	65	589
100	66	589
101	66	588
102	67	587
103	68	587
104	68	587
105	69	587
106	70	587
107	70	586
108	71	585
109	72	584
110	72	583
111	73	582
112	74	583
113	74	581
114	75	581
115	76	582
116	77	581
117	77	580
118	78	580
119	79	580
120	79	578
121	80	578
122	81	577
123	81	578
124	82	577
125	83	578
126	83	577
127	84	576
128	85	575
129	85	574
130	86	574
131	87	574
132	87	573
133	88	573
134	89	572
135	90	572
136	90	572
137	91	571
138	92	572
139	92	571
140	93	570
141	94	570
142	95	570
143	95	569
144	96	568
145	97	568
146	97	568
147	98	567
148	99	567
149	99	566
150	100	565
151	101	565
152	102	565
153	102	564
154	103	563
155	104	562
156	104	561
157	105	561
158	105	560
159	106	560
160	107	560
161	108	559
162	108	559
163	109	558
164	110	557
165	110	557
166	111	556
167	112	555
168	112	554
169	113	554
170	114	553
171	114	553
172	115	552
173	116	551
174	116	550
175	117	550
176	118	549
177	118	548
178	119	548
179	120	548
180	121	548
181	121	547
182	122	546
183	123	546
184	123	545
185	124	544
186	125	544
187	125	543
188	126	542
189	127	543
190	128	542
191	128	541
192	129	540
193	129	539
194	130	539
195	131	538
196	132	538
197	132	537
198	133	536
199	134	536
200	134	535
201	135	535
202	136	534
203	136	534
204	137	533
205	138	532
206	138	531
207	139	531
208	140	531
209	141	530
210	141	529
211	142	528
212	142	528
213	143	527
214	144	526
215	144	526
216	145	525
217	146	524
218	147	524
219	147	523
220	148	523
221	149	522
222	149	521
223	150	520
224	151	520
225	151	519
226	152	519
227	153	518
228	153	517
229	154	517
230	155	516
231	155	515
232	156	514
233	157	514
234	157	513
235	158	513
236	159	512
237	160	512
238	160	511
239	161	511
240	161	510
241	162	509
242	163	508
243	163	507
244	164	507
245	165	507
246	166	506
247	166	505
248	167	504
249	168	504
250	168	503
251	169	502
252	169	501
253	170	501
254	171	500
255	172	499
256	172	499
257	173	498
258	174	498
259	174	497
260	175	496
261	175	495
262	176	494
263	177	494
264	178	493
265	178	493
266	179	492
267	180	492
268	180	491
269	181	490
270	182	490
271	182	489
272	183	488
273	184	488
274	184	487
275	185	487
276	186	486
277	186	485
278	187	484
279	188	484
280	188	483
281	189	482
282	190	482
283	191	481
284	191	481
285	192	480
286	193	479
287	193	479
288	194	478
289	195	477
290	195	477
291	196	476
292	197	476
293	198	475
294	198	474
295	199	474
296	199	473
297	200	472
298	201	472
299	201	471
300	202	470
301	203	470
302	204	469
303	204	468
304	205	468
305	206	467
306	206	466
307	207	465
308	207	465
309	208	464
310	209	464
311	210	463
312	210	462
313	211	462
314	212	461
315	212	460
316	213	459
317	214	459
318	214	458
319	215	457
320	216	456
321	216	456
322	217	455
323	218	455
324	218	454
325	219	453
326	220	452
327	220	452
328	221	451
329	222	450
330	222	450
331	223	449
332	224	448
333	224	447
334	225	447
335	226	446
336	226	446
337	227	445
338	228	444
339	228	444
340	229	443
341	230	442
342	230	442
343	231	441
344	232	440
345	232	440
346	233	439
347	234	438
348	235	438
349	235	437
350	236	437
351	237	436
352	237	435
353	238	435
354	239	434
355	239	433
356	240	432
357	241	432
358	241	431
359	242	431
360	243	430
361	243	429
362	244	429
363	245	428
364	245	427
365	246	426
366	247	426
367	247	425
368	248	425
369	249	424
370	250	424
371	250	423
372	251	422
373	252	421
374	252	421
375	253	420
376	254	420
377	254	419
378	255	418
379	256	418
380	256	417
381	257	416
382	258	415
383	258	415
384	259	414
385	259	413
386	260	412
387	261	411
388	261	411
389	262	410
390	263	409
391	263	409
392	264	408
393	265	407
394	265	407
395	266	406
396	267	405
397	267	405
398	268	404
399	269	403
400	269	403
401	270	402
402	271	401
403	271	401
404	272	400
405	273	399
406	274	399
407	274	398
408	275	397
409	275	397
410	276	396
411	277	395
412	278	395
413	278	394
414	279	393
415	280	393
416	280	392
417	281	391
418	282	391
419	282	390
420	283	389
421	284	389
422	284	388
423	285	387
424	286	387
425	286	386
426	287	385
427	288	385
428	288	384
429	289	383
430	290	383
431	290	382
432	291	381
433	292	381
434	293	380
435	293	379
436	294	379
437	294	378
438	295	377
439	296	376
440	296	376
441	297	375
442	298	374
443	298	374
444	299	373
445	300	373
446	300	372
447	301	371
448	302	371
449	303	370
450	303	369
451	304	368
452	305	368
453	305	367
454	306	367
455	307	366
456	307	365
457	308	365
458	309	364
459	309	363
460	310	362
461	310	362
462	311	361
463	312	360
464	312	359
465	313	359
466	313	358
467	314	357
468	315	356
469	315	355
470	316	355
471	316	354
472	317	353
473	318	352
474	318	352
475	319	351
476	320	350
477	320	350
478	321	349
479	321	348
480	322	348
481	323	347
482	323	346
483	324	346
484	325	345
485	326	344
486	326	344
487	327	343
488	328	342
489	328	342
490	329	341
491	330	340
492	330	340
493	331	339
494	332	339
495	332	338
496	333	337
497	334	337
498	335	336
499	335	335
500	336	334
501	337	334
502	337	333
503	338	333
504	339	332
505	339	331
506	340	331
507	341	330
508	341	329
509	342	328
510	343	328
511	343	327
512	344	327
513	345	326
514	345	325
515	346	325
516	347	324
517	347	323
518	348	322
519	349	322
520	349	321
521	350	321
522	351	320
523	351	319
524	352	318
525	353	318
526	353	317
527	354	316
528	355	316
529	355	315
530	356	314
531	357	314
532	357	313
533	358	312
534	358	311
535	359	311
536	360	310
537	360	309
538	361	309
539	362	308
540	362	307
541	363	306
542	363	306
543	364	305
544	365	304
545	365	304
546	366	303
547	366	302
548	367	301
549	368	301
550	368	300
551	369	299
552	370	299
553	370	298
554	371	297
555	372	297
556	372	296
557	373	295
558	374	295
559	374	294
560	375	293
561	376	293
562	376	292
563	377	291
564	377	290
565	378	290
566	379	289
567	379	288
568	380	288
569	380	287
570	381	286
571	382	285
572	382	285
573	383	284
574	384	283
575	384	283
576	385	282
577	385	281
578	386	280
579	386	280
580	387	279
581	388	278
582	388	278
583	389	277
584	389	276
585	390	275
586	391	275
587	391	274
588	392	273
589	392	273
590	393	272
591	394	271
592	394	270
593	395	270
594	395	269
595	396	268
596	396	267
597	397	267
598	398	266
599	398	265
600	399	265
601	399	264
602	400	263
603	400	262
604	401	262
605	402	261
606	402	260
607	403	260
608	403	259
609	404	258
610	404	257
611	405	257
612	406	256
613	406	255
614	407	254
615	407	254
616	408	253
617	409	252
618	409	252
619	410	251
620	410	250
621	411	249
622	411	249
623	412	248
624	412	247
625	413	247
626	414	246
627	414	245
628	415	244
629	415	244
630	416	243
631	416	242
632	417	242
633	418	241
634	418	240
635	419	240
636	420	239
637	420	238
638	421	238
639	422	237
640	422	236
641	423	236
642	423	235
643	424	234
644	425	233
645	425	233
646	426	232
647	426	231
648	427	231
649	427	230
650	428	229
651	429	229
652	429	228
653	430	227
654	430	226
655	431	226
656	431	225
657	432	224
658	433	224
659	433	223
660	434	222
661	434	222
662	435	221
663	436	220
664	436	219
665	437	219
666	437	218
667	438	217
668	438	217
669	439	216
670	439	215
671	440	215
672	441	214
673	441	213
674	442	212
675	442	212
676	443	211
677	443	210
678	444	210
679	444	209
680	445	208
681	446	208
682	446	207
683	447	206
684	447	205
685	448	205
686	449	204
687	449	203
688	450	203
689	450	202
690	451	201
691	451	201
692	452	200
693	453	199
694	453	199
695	454	198
696	455	197
697	455	197
698	456	196
699	457	195
700	457	195
701	458	194
702	459	193
703	459	193
704	460	192
705	461	192
706	462	191
707	462	190
708	463	190
709	464	189
710	464	188
711	465	188
712	465	187
713	466	186
714	467	186
715	467	185
716	468	184
717	469	184
718	470	183
719	470	183
720	471	182
721	472	181
722	472	181
723	473	180
724	474	179
725	475	179
726	475	178
727	476	177
728	477	177
729	477	176
730	478	176
731	478	175
732	479	174
733	480	174
734	480	173
735	481	172
736	481	171
737	482	171
738	482	170
739	483	169
740	484	169
741	484	168
742	485	167
743	485	167
744	486	166
745	487	165
746	487	165
747	488	164
748	488	163
749	489	163
750	489	162
751	490	161
752	490	161
753	491	160
754	492	159
755	492	159
756	493	158
757	493	157
758	494	157
759	495	156
760	495	155
761	496	155
762	496	154
763	497	153
764	498	153
765	498	152
766	499	151
767	500	151
768	500	150
769	501	149
770	501	149
771	502	148
772	503	147
773	503	147
774	504	146
775	505	145
776	505	145
777	506	144
778	507	143
779	507	143
780	507	142
781	508	141
782	509	141
783	509	140
784	510	139
785	510	139
786	511	138
787	512	137
788	512	137
789	513	136
790	514	135
791	515	135
792	515	134
793	516	133
794	517	133
795	517	132
796	518	132
797	519	131
798	519	130
799	520	130
800	521	129
801	521	128
802	522	128
803	523	127
804	523	126
805	524	126
806	525	125
807	526	125
808	526	124
809	527	123
810	528	123
811	528	122
