Date,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС"
2015-03-02 00:00:00,3850,214,12696,11912,12910,63,3700.0,72.0,224,215,295,248,3300,12100,53.0,4500,6900,12439,4300,265,1325.0,2275.0,21250,103,3450.0,12253,4700.0,249,3890,3350.0,3540.0,2097.0,1261.0,23.0
2015-03-09 00:00:00,4400,232,12916,12061,12964,61,4050.0,70.0,229,221,275,248,3750,11774,51.0,4700,8750,12020,4100,265,1345.0,2425.0,15250,103,3500.0,12183,4700.0,257,4164,3525.0,3540.0,2097.0,1261.0,23.0
2015-03-16 00:00:00,4400,229,12883,11893,12812,58,4050.0,67.0,231,223,265,248,3750,11733,48.0,4700,8750,12093,4100,263,1345.0,2425.0,15250,102,3500.0,12140,4700.0,256,4164,3525.0,3540.0,2097.0,1261.0,23.0
2015-03-23 00:00:00,4400,230,12753,11945,12694,56,4050.0,65.0,230,220,263,253,3750,11540,46.0,4700,8750,11763,4100,263,1345.0,2425.0,15250,101,3500.0,12139,4700.0,254,4164,3525.0,3540.0,2097.0,1261.0,23.0
2015-03-30 00:00:00,4400,231,12521,11853,12569,55,4050.0,63.5,233,221,269,254,3750,11579,44.5,4700,8750,11719,4100,261,1345.0,2425.0,15250,98,3500.0,12113,4700.0,256,4164,3525.0,3601.0,2322.0,1267.0,23.0
2015-04-06 00:00:00,4400,235,12395,11785,12421,50,4050.0,58.0,236,229,265,258,3750,11378,39.0,4700,8750,11250,4100,264,1250.0,2175.0,13250,95,3200.0,12369,4700.0,262,4941,3525.0,3601.0,2322.0,1267.0,23.0
2015-04-13 00:00:00,5350,238,12220,11327,12146,48,5200.0,57.5,236,229,265,258,4400,11056,38.5,5700,10350,11327,4800,260,1250.0,2175.0,13250,92,3200.0,12324,5550.0,263,4941,3850.0,3601.0,2322.0,1267.0,23.0
2015-04-20 00:00:00,5350,245,11830,11050,11716,50,5200.0,58.5,241,238,265,258,4400,10613,39.5,5700,10350,10555,4800,260,1250.0,2175.0,13250,90,3200.0,12109,5550.0,267,4941,3850.0,3601.0,2322.0,1267.0,23.0
2015-04-27 00:00:00,5350,250,11083,11091,11035,54,5200.0,61.0,248,243,270,258,4400,10456,42.0,5700,10350,10066,4800,264,1250.0,2175.0,13250,88,3200.0,11705,5550.0,274,4941,3850.0,3601.0,2322.0,1267.0,23.0
2015-05-04 00:00:00,5350,251,10714,11167,10865,58,5200.0,62.5,249,244,265,258,4400,9996,43.5,5700,10350,9758,4800,263,1250.0,2175.0,13250,86,3200.0,10970,5550.0,276,4925,3850.0,3376.0,2192.0,1051.0,23.0
2015-05-11 00:00:00,5250,259,10558,11270,10463,60,5200.0,64.0,257,252,263,260,4400,9371,45.0,5700,9900,9432,4800,270,1250.0,1750.0,12750,82,2600.0,10589,5550.0,285,4925,3850.0,3376.0,2192.0,1051.0,23.0
2015-05-18 00:00:00,5250,265,10269,10723,10454,62,5200.0,65.0,264,255,263,265,4400,9234,46.0,5700,9900,9386,4800,270,1250.0,1750.0,12750,82,2600.0,10539,5550.0,288,4925,3850.0,3376.0,2192.0,1051.0,23.0
2015-05-25 00:00:00,5250,263,10042,9744,10315,59,5200.0,64.0,262,250,265,265,4400,8990,45.0,5700,9900,9290,4800,272,1250.0,1750.0,12750,81,2600.0,10383,5550.0,283,4925,3850.0,2594.0,2192.0,1051.0,23.0
2015-06-01 00:00:00,5250,262,10075,9586,10333,62,5200.0,65.5,258,245,265,265,4400,8704,46.5,5700,9900,9299,4800,270,1250.0,1750.0,12750,82,2600.0,10210,5550.0,280,4925,3850.0,2594.0,1772.0,1170.0,22.0
2015-06-08 00:00:00,5150,261,10485,9540,10268,64,5000.0,66.5,258,239,265,265,4250,8833,47.5,5550,9400,9318,4800,272,1250.0,1950.0,13000,83,2760.0,10158,5400.0,279,4838,3850.0,2594.0,1772.0,1170.0,22.0
2015-06-15 00:00:00,5150,261,10468,8646,10225,65,5000.0,69.0,258,242,265,270,4250,8812,50.0,5550,9400,9319,4800,271,1250.0,1950.0,13000,85,2760.0,10156,5400.0,279,4838,3850.0,2594.0,1772.0,1170.0,22.0
2015-06-22 00:00:00,5150,257,10488,8816,10232,62,5000.0,66.0,255,239,265,270,4250,8867,47.0,5550,9400,9334,4800,268,1250.0,1950.0,13000,87,2760.0,10122,5400.0,273,4838,3850.0,2594.0,1772.0,1170.0,22.0
2015-06-29 00:00:00,5150,237,10482,8801,10245,61,5000.0,64.5,236,229,265,270,4250,8818,45.5,5550,9400,9432,4800,266,1250.0,1950.0,13000,88,2760.0,10099,5400.0,266,4838,3850.0,2756.0,1991.0,1180.0,22.0
2015-07-06 00:00:00,4150,224,10605,8805,10417,58,4000.0,63.5,225,223,265,248,3300,8877,44.5,4550,9050,9599,4500,259,1180.0,2125.0,13000,87,3025.0,10115,4400.0,252,4108,3525.0,2756.0,1991.0,1180.0,22.0
2015-07-13 00:00:00,4150,219,10791,8907,10682,49,4000.0,57.5,213,212,265,248,3300,8963,38.5,4550,9050,9943,4500,255,1180.0,2125.0,13000,87,3025.0,10072,4400.0,240,4108,3525.0,2756.0,1991.0,1180.0,22.0
2015-07-20 00:00:00,4150,201,10867,8745,10880,50,4000.0,58.0,201,194,265,231,3300,8993,39.0,4550,9050,10141,4500,245,1180.0,2125.0,13000,84,3025.0,10014,4400.0,225,4108,3525.0,2756.0,1991.0,1180.0,22.0
2015-07-27 00:00:00,4150,201,10996,8646,10883,52,4000.0,59.0,201,203,265,225,3300,8939,40.0,4550,9050,10141,4500,245,1180.0,2125.0,13000,80,3025.0,10013,4400.0,227,4108,3525.0,3008.0,2144.0,1093.0,21.0
2015-08-03 00:00:00,4150,208,11068,8896,10838,54,4000.0,61.5,205,208,265,218,3300,8830,42.5,4550,9050,10143,4500,240,1180.0,1900.0,13000,79,2750.0,9974,4400.0,233,4108,3525.0,3008.0,2144.0,1093.0,21.0
2015-08-10 00:00:00,4150,215,11059,8990,10840,56,4000.0,63.5,211,208,255,218,3300,8770,43.5,4550,8800,10087,4200,245,1155.0,1900.0,13000,83,2750.0,9934,4400.0,240,4001,3300.0,3008.0,2144.0,1093.0,21.0
2015-08-17 00:00:00,4150,211,11078,9007,10823,56,4000.0,63.5,215,212,255,220,3300,8755,43.5,4550,8800,10106,4200,245,1155.0,1900.0,13000,83,2750.0,9960,4400.0,243,4001,3300.0,3008.0,2144.0,1093.0,21.0
2015-08-24 00:00:00,4150,204,11010,8863,10853,56,4000.0,63.5,210,212,250,220,3300,8795,43.5,4550,8800,10137,4200,240,1155.0,1900.0,13000,81,2750.0,9953,4400.0,236,4001,3300.0,3008.0,2144.0,1093.0,21.0
2015-08-31 00:00:00,4150,211,11044,9086,10841,54,4000.0,62.5,215,207,248,220,3300,8862,42.0,4550,8800,10178,4200,235,1155.0,1900.0,13000,81,2750.0,10004,4400.0,231,4001,3300.0,2745.0,1910.0,1098.0,21.0
2015-09-07 00:00:00,4150,201,11159,9299,10961,56,4000.0,63.5,200,202,236,210,3300,8939,43.0,4550,8800,10233,4200,230,1155.0,2000.0,14000,81,2900.0,10232,4400.0,220,4001,3300.0,2745.0,1910.0,1098.0,21.0
2015-09-14 00:00:00,4150,184,11210,9282,10946,58,4000.0,64.5,189,183,236,205,3300,8923,44.0,4550,8800,10212,4200,210,1155.0,2000.0,14000,81,2900.0,10374,4400.0,206,4001,3300.0,2745.0,1910.0,1098.0,21.0
2015-09-21 00:00:00,4150,180,11237,9206,10949,57,4000.0,64.0,188,181,236,205,3300,8887,43.0,4550,8800,10201,4200,210,1155.0,2000.0,14000,81,2900.0,10411,4400.0,202,4001,3300.0,2745.0,1910.0,1098.0,21.0
2015-09-28 00:00:00,4150,170,11367,9585,10718,57,4000.0,64.0,178,172,231,198,3300,8969,43.0,4550,8800,10024,4200,205,1155.0,2000.0,14000,80,2900.0,10458,4400.0,194,4001,3300.0,2949.0,2018.0,1107.0,22.0
2015-10-05 00:00:00,4150,165,11357,9553,10670,55,4000.0,62.0,175,165,216,188,3300,9209,41.0,4550,8800,10043,4200,195,1155.0,2150.0,14000,79,3225.0,10474,4400.0,187,4001,3300.0,2949.0,2018.0,1107.0,22.0
2015-10-12 00:00:00,4375,154,11310,9574,10531,55,4200.0,62.0,167,163,216,183,3450,9382,41.0,4750,9100,9928,4650,190,1155.0,2150.0,14000,80,3225.0,10552,5000.0,178,4335,3800.0,2949.0,2018.0,1107.0,22.0
2015-10-19 00:00:00,4375,153,11182,9554,10400,55,4200.0,62.0,159,154,205,183,3450,9316,41.0,4750,9100,9746,4650,175,1155.0,2150.0,14000,79,3225.0,10620,5000.0,170,4335,3800.0,2949.0,2018.0,1107.0,22.0
2015-10-26 00:00:00,4375,154,11052,9582,10384,52,4200.0,59.0,158,151,189,173,3450,9354,38.5,4750,9100,9679,4650,180,1155.0,2150.0,14000,78,3225.0,10652,5000.0,173,4335,3800.0,3307.0,2178.0,1099.0,22.0
2015-11-02 00:00:00,4375,167,10624,9485,10008,50,4200.0,58.0,164,158,189,173,3450,9444,37.5,4750,9100,9242,4650,185,1155.0,2150.0,14000,77,3225.0,10625,5000.0,186,4335,3800.0,3307.0,2178.0,1099.0,22.0
2015-11-09 00:00:00,4375,174,10529,9195,9850,48,4200.0,59.5,178,166,181,173,3450,9236,42.5,4750,9000,8991,4650,185,1155.0,2150.0,11000,76,3225.0,10437,5000.0,195,4335,3800.0,3307.0,2178.0,1099.0,22.0
2015-11-16 00:00:00,4375,182,10142,8938,9541,48,4200.0,57.5,180,175,181,173,3450,9053,40.5,4750,9000,8618,4650,190,1155.0,2150.0,11000,74,3225.0,10356,5000.0,200,4335,3800.0,3307.0,2178.0,1099.0,22.0
2015-11-23 00:00:00,4375,181,9428,8844,9154,46,4200.0,54.5,179,173,181,173,3450,8416,37.5,4750,9000,8259,4650,190,1155.0,2150.0,11000,73,3225.0,9808,5000.0,196,4335,3800.0,3307.0,2178.0,1099.0,22.0
2015-11-30 00:00:00,4375,180,9133,8878,9052,44,4200.0,51.5,179,168,183,173,3450,8036,34.5,4750,9000,8160,4650,185,1155.0,2150.0,11000,72,3225.0,9381,5000.0,191,4335,3800.0,3150.0,2112.0,1125.0,22.0
2015-12-07 00:00:00,4375,176,9103,8660,9138,41,4200.0,52.5,178,163,183,173,3450,8002,37.5,4750,9000,8112,4650,180,1155.0,1925.0,11000,74,2825.0,9350,5000.0,190,4335,3800.0,3150.0,2112.0,1125.0,22.0
2015-12-14 00:00:00,4375,176,9143,8330,9142,39,4200.0,50.5,178,161,183,173,3450,8067,35.5,4750,9000,8115,4650,180,1155.0,1925.0,11000,75,2825.0,9326,5000.0,187,4335,3800.0,3150.0,2112.0,1125.0,22.0
2015-12-21 00:00:00,4375,174,9268,8016,9135,39,4200.0,51.5,175,160,183,173,3450,7813,36.5,4750,9000,8050,4650,180,1155.0,1925.0,11000,75,2825.0,8888,5000.0,187,4335,3800.0,3150.0,2112.0,1125.0,22.0
2015-12-28 00:00:00,4375,172,9337,8134,9116,40,4200.0,52.5,168,158,183,173,3450,7638,37.5,4750,9000,8064,4650,180,1155.0,1925.0,11000,76,2825.0,8934,5000.0,186,4335,3800.0,2826.0,1884.0,1115.0,22.0
2016-01-04 00:00:00,4375,172,9332,8077,9095,42,4200.0,54.5,168,160,183,173,3450,7554,39.5,4750,9000,8067,4650,180,1155.0,1925.0,11000,76,2825.0,8973,5000.0,189,4335,3800.0,2826.0,1884.0,1115.0,22.0
2016-01-11 00:00:00,4325,173,9428,8058,9221,42,4200.0,54.5,174,160,183,173,3450,7439,39.5,4700,9000,7826,4650,185,1155.0,1650.0,11000,77,2525.0,8963,5000.0,188,4335,3800.0,2826.0,1884.0,1115.0,22.0
2016-01-18 00:00:00,4325,173,9240,8387,9089,40,4200.0,53.5,175,159,183,173,3450,7538,38.5,4700,9000,8090,4650,190,1130.0,1650.0,11000,77,2525.0,8981,5000.0,186,4322,3800.0,2826.0,1884.0,1115.0,22.0
2016-01-25 00:00:00,4325,172,9272,8361,9126,42,4200.0,54.0,174,156,183,174,3450,7649,39.0,4700,9000,8176,4650,190,1130.0,1650.0,11000,75,2525.0,9023,5000.0,181,4322,3800.0,2826.0,1884.0,1115.0,22.0
2016-02-01 00:00:00,4325,165,9339,8860,9231,42,4200.0,54.0,168,153,183,177,3450,7650,39.0,4700,9000,8247,4650,190,1130.0,1650.0,11000,75,2525.0,9067,5000.0,177,4322,3800.0,2456.0,1751.0,1134.0,22.0
2016-02-08 00:00:00,4325,165,9249,9094,9428,44,4200.0,48.5,167,150,181,177,3450,7916,35.5,4700,8650,8366,4650,185,1130.0,1725.0,11700,74,2525.0,9011,5000.0,176,4322,3800.0,2456.0,1751.0,1134.0,22.0
2016-02-15 00:00:00,4325,164,9442,9094,9540,44,4200.0,48.5,168,148,185,176,3450,8037,35.5,4700,8650,8502,4650,185,1130.0,1725.0,11700,73,2525.0,9224,5000.0,175,4322,3800.0,2456.0,1751.0,1134.0,22.0
