Date,Open,High,Low,Vol.,Change %
03/31/2023,130.6,130.6,128.36,3.54M,-0.98%
03/30/2023,132.3,133.44,129.8,4.85M,-0.94%
03/29/2023,128.0,134.44,127.1,10.37M,3.37%
03/28/2023,128.58,128.94,126.56,2.27M,-0.50%
03/27/2023,127.0,128.42,126.86,2.81M,1.33%
03/24/2023,126.2,126.5,125.4,1.26M,0.24%
03/23/2023,125.0,126.54,123.92,2.88M,0.88%
03/22/2023,125.98,126.32,125.0,1.49M,-0.78%
03/21/2023,128.24,128.58,125.12,3.45M,-1.18%
03/20/2023,125.4,128.0,124.42,5.78M,1.98%
03/17/2023,125.02,125.96,124.32,3.99M,0.77%
03/16/2023,123.8,124.32,120.8,3.42M,0.26%
03/15/2023,125.94,126.42,122.5,3.35M,-1.50%
03/14/2023,125.0,126.26,124.02,2.72M,0.62%
03/13/2023,127.0,127.2,124.02,4.50M,-1.36%
03/10/2023,125.9,127.2,125.4,2.66M,0.14%
03/09/2023,126.4,127.22,125.22,2.63M,0.06%
03/07/2023,126.9,127.4,125.7,3.38M,-0.46%
03/06/2023,128.5,129.1,126.6,5.01M,-1.06%
03/03/2023,126.2,128.54,125.3,2.94M,1.73%
03/02/2023,127.9,128.9,124.32,6.61M,-1.44%
03/01/2023,125.98,128.52,125.14,5.70M,2.22%
02/28/2023,124.2,126.0,123.8,5.40M,0.92%
02/27/2023,119.88,124.64,117.84,6.00M,3.38%
02/24/2023,121.32,122.44,118.9,3.08M,-0.78%
02/22/2023,122.02,122.38,119.56,4.05M,-0.69%
02/21/2023,117.88,122.0,117.72,6.03M,3.33%
02/20/2023,117.22,118.34,114.4,3.84M,0.36%
02/17/2023,116.88,118.6,115.74,4.33M,-0.47%
02/16/2023,118.4,120.34,115.46,5.49M,0.34%
02/15/2023,122.5,122.58,115.2,6.67M,-4.34%
02/14/2023,126.26,126.66,122.76,4.20M,-2.97%
02/13/2023,125.04,127.48,125.02,4.23M,1.36%
02/10/2023,122.04,125.7,121.72,7.15M,2.04%
02/09/2023,119.3,123.24,118.34,4.59M,2.68%
02/08/2023,121.9,122.42,119.1,3.49M,-2.08%
02/07/2023,123.22,123.9,120.8,3.42M,-1.30%
02/06/2023,120.4,123.68,119.82,5.09M,2.63%
02/03/2023,120.22,120.68,118.1,4.16M,0.05%
02/02/2023,119.8,120.88,118.0,5.56M,1.06%
02/01/2023,117.0,120.0,116.5,5.21M,1.85%
01/31/2023,115.4,116.98,114.8,2.92M,1.42%
01/30/2023,113.76,115.38,113.76,3.01M,1.23%
01/27/2023,112.38,113.98,112.22,2.29M,1.25%
01/26/2023,111.76,113.16,111.24,1.87M,0.64%
01/25/2023,111.26,112.1,110.72,1.70M,0.34%
01/24/2023,111.82,112.8,111.08,1.77M,-0.68%
01/23/2023,112.3,112.46,111.28,1.60M,0.04%
01/20/2023,111.8,112.28,110.88,1.82M,0.43%
01/19/2023,111.5,112.46,110.58,2.79M,-0.04%
01/18/2023,111.3,113.3,110.84,3.26M,0.14%
01/17/2023,114.38,114.52,111.0,4.75M,-2.55%
01/16/2023,112.2,114.48,112.2,4.36M,1.91%
01/13/2023,111.5,112.3,110.7,2.00M,0.59%
01/12/2023,112.16,112.4,110.22,2.32M,-0.54%
01/11/2023,109.0,112.28,109.0,3.47M,2.64%
01/10/2023,109.9,110.18,108.64,3.62M,-1.07%
01/09/2023,111.9,112.38,109.8,4.64M,-0.84%
01/06/2023,112.28,112.5,111.18,1.90M,-0.64%
01/05/2023,112.3,112.66,110.88,2.31M,-0.25%
01/04/2023,114.58,114.62,111.82,4.18M,-1.77%
01/03/2023,113.0,115.2,112.7,6.51M,-2.89%
12/30/2022,115.68,118.32,115.24,4.21M,2.19%
12/29/2022,115.1,115.96,114.5,1.55M,-0.28%
12/28/2022,116.0,116.6,114.8,3.13M,-0.33%
12/27/2022,115.48,115.98,113.78,3.60M,0.56%
12/26/2022,114.6,115.52,114.3,2.35M,0.59%
12/23/2022,113.76,115.48,112.5,3.04M,0.76%
12/22/2022,115.12,115.94,112.94,4.56M,-0.77%
12/21/2022,114.98,117.0,112.8,6.67M,0.16%
12/20/2022,111.36,115.7,111.12,8.20M,2.80%
12/19/2022,108.5,112.2,107.68,6.02M,2.75%
12/16/2022,107.02,108.96,106.76,2.07M,1.18%
12/15/2022,108.82,109.58,107.1,4.68M,-1.60%
12/14/2022,107.58,109.82,106.78,5.17M,1.36%
12/13/2022,107.4,108.4,106.06,4.53M,0.22%
12/12/2022,107.38,107.94,106.3,4.12M,0.66%
12/09/2022,107.86,108.96,105.4,5.37M,-1.26%
12/08/2022,105.9,107.98,105.36,5.35M,1.89%
12/07/2022,106.34,106.94,104.98,2.95M,-0.71%
12/06/2022,105.92,107.0,105.3,3.32M,0.81%
12/05/2022,105.5,106.6,104.72,2.61M,0.25%
12/02/2022,106.6,106.6,104.9,2.43M,-1.11%
