Date,Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ
2021-04-30 00:00:00,40.751,27.53,987.54000000011,201.757,2.3891,52.331737,31.49115,2.290940587,1.189297,3769.2,4968.1,1.91978113,223.405,198.589
2021-05-31 00:00:00,69.979,43.423,1071.8320000001,256.733,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181
2021-06-30 00:00:00,105.525,58.226,1495.3509999997,446.953,3.8468,125.5901,64.99075,3.98419935,1.942304,3790.64,5299.51,2.83792913,424.112,254.893
2021-07-31 00:00:00,125.093,88.93,1754.5759999995,573.13300000001,4.8559,182.176201,105.9659,4.933510301,2.327709,3853.3,5031.96,3.30228113,492.623,301.091
2021-08-31 00:00:00,124.438,112.454,1859.5489999994,659.92900000001,5.724,193.68106,141.09315,5.76268791,2.519478,3915.07,5240.72,3.78813213,562.724,303.961
2021-09-30 00:00:00,125.669,143.621,1998.1909999994,813.51800000001,6.401,217.01054,171.1804,6.67483014,2.811709,3966.72,5163.41,4.29616013,580.444,345.532
2021-10-31 00:00:00,122.03,129.403,1889.1959999994,989.29700000001,6.6908,232.288189,153.85006,6.881838129,2.878493,4035.6,5426.48,5.77362513,1082.764,373.798
2021-11-30 00:00:00,111.634,120.585,1844.5339999995,928.144,6.6463,209.976386,142.03255,6.780343836,2.772678,4097.58,5323.64,5.94379713,1115.723,380.008
2021-12-31 00:00:00,97.011,112.507,1689.8729999996,789.147,6.1945,178.660367,132.23975,6.386420617,2.47902,4172.67,5397.43,5.96597313,1090.623,361.167
2022-01-31 00:00:00,105.816,102.736,1778.0719999996,600.256,6.0097,201.859649,119.81899,6.036640659,2.378328,4231.15,5480.04,5.60876613,1085.405,334.512
2022-02-28 00:00:00,103.235327,68.5536,1645.5721,351.013102,4.8897,162.411976,77.51407,4.864497906,1.996585202,4273.63,5303.55,4.173569,916.076,318.986
2022-03-31 00:00:00,73.911368,68.357207,1280.20514,273.709727,3.7076,121.298868,75.504387,3.642894481,1.553980343,4312.66,5201.73,3.35672867,515.03,247.05
2022-04-30 00:00:00,59.399381,47.207602,1024.1358600001,233.724269,2.9067,87.364672,50.981402,2.74208327,1.257860129,4275.16,5776.56,0.002264,591.016,224.057
2022-05-31 00:00:00,76.21429,53.491478,1217.44917,279.997752,3.4428,111.609791,60.553278,3.530556513,1.497446922,4339.53,5653.47,0.002963669,839.026,213.364
2022-06-30 00:00:00,111.77292,69.3898,1541.38408,439.413221,4.5108,177.90417,79.40931,4.60719486,1.980797301,4468.65,6255.79,0.002885475,627.765,272.334
2022-07-31 00:00:00,114.26468,76.87777,1659.50314,451.206773,5.0128,150.20119,85.23647,4.99516472,2.110709913,4668.75,6384.87,0.004034146,989.94,338.706
2022-08-31 00:00:00,95.65283,77.60696,1722.1414099999,626.013331,5.8464,134.149062,97.77053,5.831478532,2.348154741,4803.8,6749.37,0.00393404,758.851,325.235
2022-09-30 00:00:00,83.881918,77.6457,1848.1906299999,716.829805,6.4244,177.125917,97.653361,6.623372556,2.565020435,4934.75,6798.66,0.00556457,1233.333,349.822
2022-10-31 00:00:00,120.8967,84.70727,1954.1909199999,825.289492,6.7922,206.347401,104.6772,6.908870201,2.779480412,5013.97,6939.11,0.005888925,1348.069,368.66
2022-11-30 00:00:00,144.64826,75.647687,1870.6299799999,806.01115199999,6.6659,268.466572,94.213038,6.938953534,2.676641132,5100.41,6993.72,0.006082255,1367.746,383.548
2022-12-31 00:00:00,182.08293,62.57918,1838.5366999999,716.65040599999,6.201,280.40513,81.05191,6.44775322,2.555187106,5174.27,6874.88,0.005713852,1257.653,363.727
2023-01-31 00:00:00,179.94821,64.602294,1731.30661,535.570704,5.7105,254.499709,84.986894,5.603112815,2.266877314,5157.75,6645.47,0.005376143,1296.375,349.767
2023-02-28 00:00:00,127.55719,56.7124,1395.32091,323.144673,4.104,194.063078,62.10118,4.136761898,1.718465583,5146.97,6687.32,0.004087785,946.811,281.474
2023-03-31 00:00:00,97.5003,37.98176,1159.52348,202.346648,3.1717,159.65568,42.13502,3.33992066,1.361870128,5111.16,6676.36,0.003530665,845.993,235.055
2023-04-30 00:00:00,75.1368,40.4284,970.14188000001,193.233378,2.6063,115.652542,43.1241,2.511928442,1.163375258,5098.63,6791.82,0.002502139,608.742,181.168
