dt,Price,year,month,quarter,day_of_week,day_of_month,rolling_std,normalized_price,log_normalized_price
2015-03-30,-0.012109703759811463,2015,3,1,0,30,1556.4139045974384,17.476071062880408,2.8608325773993246
2015-04-06,-0.01580572105682654,2015,4,2,0,6,1546.329965963399,17.20202064598004,2.845026856342498
2015-04-13,-0.07190174312277353,2015,4,2,0,13,1605.3886530285215,16.00858455771296,2.7731251132197245
2015-04-20,-0.1721486102475196,2015,4,2,0,20,1840.1869140899469,13.476891836427761,2.600976502972205
2015-04-27,-0.07732536745195118,2015,4,2,0,27,1980.1094245857562,12.474058096646504,2.5236511355202538
2015-05-04,-0.04886477553128943,2015,5,2,0,4,2045.5976380925197,11.879168976094087,2.4747863599889643
2015-05-11,-0.021067758785427326,2015,5,2,0,11,2054.7616539505134,11.631519380386298,2.453718601203537
2015-05-18,0.021927742808283135,2015,5,2,0,18,2018.6066301468245,11.889389265631385,2.47564634401182
2015-05-25,0.03288541687097046,2015,5,2,0,25,1928.8872596930203,12.286876737301807,2.5085317608827906
2015-06-01,0.08146188179618674,2015,6,2,0,1,1762.9821498262672,13.329686861727899,2.5899936426789774
2015-06-08,0.19086422433892514,2015,6,2,0,8,1475.2503639598337,16.13285485733864,2.7808578670179025
2015-06-15,0.24236042816811665,2015,6,2,0,15,1186.9237038613155,20.557344941904525,3.023218295186019
2015-06-22,0.2956226441530245,2015,6,2,0,22,904.8689843219639,27.628309106796262,3.3188409393390437
2015-06-29,0.288267310132448,2015,6,2,0,29,686.3937380515262,36.859310622237615,3.6071082494714917
2015-07-06,0.05576235716778344,2015,7,3,0,6,654.2981435141354,38.97305876957467,3.662870606639275
2015-07-13,-0.09606205909561227,2015,7,3,0,13,720.2693099028047,35.40342431560918,3.566808547543663
2015-07-20,-0.06766485633229147,2015,7,3,0,20,767.670620655868,33.087107043772534,3.4991436912113714
2015-07-27,-0.03328179621935634,2015,7,3,0,27,787.4007874011709,32.00403200404842,3.465861894992015
2015-08-03,0.02465964238703222,2015,8,3,0,3,762.1242243449011,32.80305126305261,3.4905215373790472
2015-08-10,0.030302025737039884,2015,8,3,0,10,730.5041845440362,33.812263533325506,3.520823563116087
2015-08-17,0.08330377114470489,2015,8,3,0,17,663.9528095680573,36.74959974320121,3.604127334260792
2015-08-24,0.13529368991813673,2015,8,3,0,24,572.8054299725557,42.07362350101095,3.7394210241789287
2015-08-31,0.08307595391895006,2015,8,3,0,31,527.1420945805522,45.71822331733232,3.822496978097879
2015-09-07,-0.11309784960963132,2015,9,3,0,7,585.3644293527741,40.829266011988054,3.7093991284882475
2015-09-14,-0.02989713091493007,2015,9,3,0,14,610.7000454024289,39.626654987479306,3.6795019975733174
2015-09-21,0.00561746282537845,2015,9,3,0,21,607.2790781739985,39.849882648297296,3.685119460398696
2015-09-28,0.04189972136103659,2015,9,3,0,28,577.5470596069107,41.55505529945014,3.7270191817597325
2015-10-05,0.11647881036318486,2015,10,4,0,5,514.0451577851953,46.68850515664017,3.8434979921229173
2015-10-12,0.14008111410756818,2015,10,4,0,12,443.1293675255773,53.70892056398467,3.9835791062304855
2015-10-19,0.20389130312394244,2015,10,4,0,19,361.39460511474533,65.85599138217167,4.187470409354428
2015-10-26,0.3644020834728563,2015,10,4,0,26,255.2479483786258,94.80977282568624,4.551872492827284
2015-11-02,0.1727114948269861,2015,11,4,0,2,217.4229226018035,112.68361084847626,4.72458398765427
2015-11-09,-0.062440148763537096,2015,11,4,0,9,231.4316444667597,105.86279182542347,4.662143838890733
2015-11-16,-0.04195461339494955,2015,11,4,0,16,235.92981750482784,101.5132392051713,4.620189225495784
2015-11-23,-0.09056309500790771,2015,11,4,0,23,256.13680056962346,92.72388796604899,4.529626130487876
2015-11-30,-0.4179735126980413,2015,11,4,0,30,378.3937343321115,61.04752247225483,4.111652617789835
2015-12-07,-0.30283315909291275,2015,12,4,0,7,505.5749802017923,45.09716835848906,3.808819458696922
2015-12-14,-0.4024773674609272,2015,12,4,0,14,729.5702346400299,30.154738989392577,3.4063420912359947
2015-12-21,-0.2463869923019555,2015,12,4,0,21,920.679920032741,23.569537607845632,3.1599550989340393
2015-12-28,-0.19812100031377788,2015,12,4,0,28,1101.7204177048982,19.33339861702129,2.9618340986202614
2016-01-04,-0.10578381663765857,2016,1,1,0,4,1224.6520841744002,17.39269485207254,2.856050281982603
2016-01-11,-0.06002116408170943,2016,1,1,0,11,1300.407861426783,16.379476494882184,2.7960291179008934
2016-01-18,-0.011380963475175587,2016,1,1,0,18,1309.1172135404265,16.194119045051675,2.784648154425718
2016-01-25,0.045239078706615476,2016,1,1,0,25,1239.4096835333887,16.94355004564096,2.8298872331323333
2016-02-01,0.13490459000116095,2016,2,1,0,1,1082.9952852523224,19.390666133054587,2.964791823133494
2016-02-08,0.1493289951999035,2016,2,1,0,8,932.7683625540648,22.513628080715275,3.1141208183333977
2016-02-15,0.28441267159105443,2016,2,1,0,15,708.5516597577265,29.92018959810054,3.398533489924452
2016-02-22,0.31554894625756313,2016,2,1,0,22,531.4360191257435,41.02093048917312,3.7140824361820153
2016-02-29,0.18283605944676884,2016,2,1,0,29,455.83340258154215,49.25044955647807,3.896918495628784
2016-03-07,-0.38311534048521745,2016,3,1,0,7,693.9538671244246,33.575718940150175,3.5138031551435667
2016-03-14,-0.2958266637965532,2016,3,1,0,14,952.8565506205947,24.977526768850023,3.2179764913470135
2016-03-21,-0.33981829131783314,2016,3,1,0,21,1434.0753012645246,17.781493048178756,2.8781582000291803
2016-03-28,-0.25166574604847547,2016,3,1,0,28,1931.2570486288841,13.82519225959897,2.626492453980705
2016-04-04,-0.2673629944510645,2016,4,2,0,4,2825.6234227640243,10.581735612437635,2.3591294595296404
2016-04-11,-0.16410220451697244,2016,4,2,0,11,3335.0980177318233,8.980245810097294,2.195027255012668
2016-04-18,-0.08714868447764346,2016,4,2,0,18,3827.1062729224514,8.230761769765541,2.1078785705350245
2016-04-25,-0.05993696255203451,2016,4,2,0,25,4115.105212396259,7.751928165507188,2.04794160798299
2016-05-02,-0.07350688264805316,2016,5,2,0,2,5595.242838719547,7.202547085377714,1.9744347253349368
2016-05-09,-0.1349599168197888,2016,5,2,0,9,6912.18730456093,6.293232240870702,1.839474808515148
2016-05-16,-0.09535306301941393,2016,5,2,0,16,7577.512334652986,5.72087488419578,1.744121745495734
2016-05-23,-0.03561131448484467,2016,5,2,0,23,7779.76566407233,5.5207318387939415,1.7085104310108894
2016-05-30,0.002096312228733188,2016,5,2,0,30,7591.755645954286,5.532317155437185,1.7106067432396226
2016-06-06,0.004176355139367649,2016,6,2,0,6,6894.105683975129,5.555470391036462,1.7147830983789902
2016-06-13,0.09422692307157687,2016,6,2,0,13,6143.108666701991,6.104401213552417,1.809010021450567
2016-06-20,0.12567199332991286,2016,6,2,0,20,5316.503393522227,6.921842661633232,1.93468201478048
2016-06-27,0.05658411870973512,2016,6,2,0,27,4832.895095075005,7.324802070724567,1.991266133490215
2016-07-04,0.08344305179500844,2016,7,3,0,4,4320.397358268494,7.9622305883889,2.0747091852852235
2016-07-11,0.027145901804841,2016,7,3,0,11,4082.464347855987,8.181332928857268,2.1018550870900645
2016-07-18,-0.006800445485545037,2016,7,3,0,18,3999.5643702177376,8.125884969374974,2.0950546416045195
2016-07-25,-0.09677276776944033,2016,7,3,0,25,4338.176198274197,7.376371668059532,1.9982818738350792
2016-08-01,-0.025928405735487825,2016,8,3,0,1,4313.000080798715,7.187572320717225,1.9723534680995913
2016-08-08,0.020259013511432,2016,8,3,0,8,4117.4310724484085,7.334670445871418,1.9926124816110233
2016-08-15,0.0557388143520412,2016,8,3,0,15,3765.261872658655,7.75510468794614,2.0483512959630645
2016-08-22,0.1430206302457684,2016,8,3,0,22,3224.371561978697,8.94747998034558,2.191371926208833
2016-08-29,0.0482635963926743,2016,8,3,0,29,3056.4728880118473,9.389908254238948,2.2396355226015072
2016-09-05,0.07662266442052257,2016,9,3,0,5,2811.296880714507,10.137669982672397,2.31625818702203
2016-09-12,0.23184424974087392,2016,9,3,0,12,2346.8991469725693,12.782824536239282,2.5481024367629037
2016-09-19,0.24203744122513893,2016,9,3,0,19,1965.2039372928914,16.283297317265024,2.7901398779880426
2016-09-26,0.14980294377963288,2016,9,3,0,26,1718.2344268040126,18.914764768420657,2.9399428217676755
2016-10-03,0.03244025916925919,2016,10,4,0,3,1704.333825246321,19.538425809971397,2.9723830809369347
2016-10-10,-0.09868855072941596,2016,10,4,0,10,1937.6014147456158,17.70229921333082,2.8736945302075187
2016-10-17,-0.090314936608626,2016,10,4,0,17,2083.6439162431134,16.173588844663218,2.7833795935988928
2016-10-24,-0.058654062566769305,2016,10,4,0,24,2111.167097875363,15.252227089179934,2.7247255310321234
2016-10-31,-0.05412988137589769,2016,10,4,0,31,2104.014020865823,14.448572917536971,2.6705956496562258
2016-11-07,0.02473692345235934,2016,11,4,0,7,2039.1016664356325,14.810443489455757,2.695332573108585
2016-11-14,0.028574871671247948,2016,11,4,0,14,1955.4120700344292,15.239754554381628,2.723907444779833
2016-11-21,0.1649061610498781,2016,11,4,0,21,1864.0132656570397,17.9719751019002,2.888813605829711
2016-11-28,0.1356807674432159,2016,11,4,0,28,1627.5097169565058,20.583594463967962,3.024494373272927
2016-12-05,0.06569635179595235,2016,12,4,0,5,1524.0247751107856,21.981269955119195,3.0901907250688794
2016-12-12,-0.016127065867170387,2016,12,4,0,12,1548.8020786362097,21.629619731333435,3.074063659201709
2016-12-19,-0.018735013602877437,2016,12,4,0,19,1554.5388091298569,21.228160922191154,3.0553286455988315
2016-12-26,-0.004365439853179609,2016,12,4,0,26,1537.683223869488,21.13569264169748,3.050963205745652
2017-01-02,0.07140527406490627,2017,1,1,0,2,1486.7788549869579,22.700080705880133,3.122368479810558
2017-01-09,-0.0025850891861121106,2017,1,1,0,9,1490.6272830488722,22.641474756163753,3.119783390624446
2017-01-16,-0.027377580436642734,2017,1,1,0,16,1532.0008208716729,22.030014305603984,3.0924058101878034
2017-01-23,0.09400204687902614,2017,1,1,0,23,1394.5510844973335,24.201336455283172,3.1864078570668295
2017-01-30,0.20404308262480075,2017,1,1,0,30,1111.8848316205404,29.679332842326343,3.3904509396916302
2017-02-06,0.8853109782204238,2017,2,1,0,6,453.18736509168644,71.93492694440972,4.275761917912054
2017-02-13,-0.28468186491715786,2017,2,1,0,13,591.3518155015075,54.11330304763125,3.991080052994896
2017-02-20,-0.3240816056430771,2017,2,1,0,20,799.8105836364823,39.13426583790494,3.666998447351819
2017-02-27,-0.3558967426641302,2017,2,1,0,27,1105.2217657624713,27.41531241840556,3.311101704687689
2017-03-06,-0.11939513039222094,2017,3,1,0,6,1253.6008740883665,24.32991283783203,3.191706574295468
2017-03-13,-0.06417012091682306,2017,3,1,0,13,1345.4468672999467,22.817697782156944,3.127536453378645
2017-03-20,-0.06560413880444971,2017,3,1,0,20,1431.993736231423,21.368808553960577,3.0619323145741952
2017-03-27,0.0006100640393333912,2017,3,1,0,27,1421.76666670218,21.3818488729332,3.0625423786135286
2017-04-03,-0.01059530794039576,2017,4,2,0,3,1408.5507273489054,21.156497541333053,3.051947070673133
2017-04-10,0.039756069890867884,2017,4,2,0,10,1340.02346202888,22.014539921066113,3.0917031405640008
2017-04-17,-0.04448256735509082,2017,4,2,0,17,1339.2388159176842,21.056737353208035,3.04722057320891
2017-04-24,-0.09343048093837014,2017,4,2,0,24,1433.8969998087766,19.178504455806365,2.95379009227054
2017-05-01,-0.15199143856803987,2017,5,2,0,1,1608.570794214546,16.474251612245496,2.8017986537025
2017-05-08,-0.07971436320701608,2017,5,2,0,8,1728.8987561713773,15.211995442833791,2.722084290495484
2017-05-15,-0.04249510450673366,2017,5,2,0,15,1803.9518907782603,14.579102765680554,2.67958918598875
2017-05-22,-0.054159894720296364,2017,5,2,0,22,1897.10704798522,13.810501641341284,2.625429291268454
2017-05-29,-0.005786686132859042,2017,5,2,0,29,1904.4753910595878,13.730815385044695,2.6196426051355948
2017-06-05,0.052298346321221434,2017,6,2,0,5,1807.4341431483049,14.468023689344637,2.671940951456816
2017-06-12,0.10433190894086364,2017,6,2,0,12,1628.36481468283,16.05905492688593,2.77627286039768
2017-06-19,0.1928097962905424,2017,6,2,0,19,1353.0828996530195,19.474047012756657,2.9690826566882222
2017-06-26,0.2574685784158608,2017,6,2,0,26,1053.8799166830997,25.19262354250133,3.226551235104083
2017-07-03,0.5153311490295338,2017,7,3,0,3,631.856331963629,42.177309384839766,3.741882384133617
2017-07-10,0.12418734766086104,2017,7,3,0,10,586.3342722270182,47.75432944359578,3.866069731794478
2017-07-17,-0.33107676692074994,2017,7,3,0,17,839.7781092213452,34.29477344521851,3.534992964873728
2017-07-24,-0.29045552820655196,2017,7,3,0,24,1146.2058623074547,25.649842638925392,3.244537436667176
2017-07-31,-0.1481972208885849,2017,7,3,0,31,1329.3026196263747,22.116860048213415,3.096340215778591
2017-08-07,-0.18013663973858307,2017,8,3,0,7,1672.8898965743927,18.471030319015313,2.916203576040008
2017-08-14,-0.27495933937980555,2017,8,3,0,14,2416.1389183421,14.030650200883901,2.6412442366602025
2017-08-21,-0.21803599954099306,2017,8,3,0,21,3182.060867368254,11.281996635624179,2.4232082371192094
2017-08-28,-0.13847130329581336,2017,8,3,0,28,3746.270873087726,9.823101758167569,2.284736933823396
2017-09-04,-0.08936317493910817,2017,9,3,0,4,4296.834194021116,8.983358039207205,2.195373758884288
2017-09-11,-0.06300334875166724,2017,9,3,0,11,4694.814999420941,8.434837156498023,2.1323704101326206
2017-09-18,-0.026580985624136133,2017,9,3,0,18,4723.881541506069,8.213584455724893,2.1057894245084845
2017-09-25,0.04361159770792522,2017,9,3,0,25,4522.293263780698,8.579717797328932,2.1494010222164097
2017-10-02,0.044445898518977955,2017,10,4,0,2,4180.764030507793,8.96965237127848,2.1938469207353877
2017-10-09,0.09621292715176644,2017,10,4,0,9,3746.6348537417675,9.875528692914408,2.290059847887154
2017-10-16,0.12209567002549093,2017,10,4,0,16,3208.4641846594254,11.157986481871895,2.412155517912645
2017-10-23,0.16774069744101316,2017,10,4,0,23,2561.4271590090016,13.195768570314131,2.579896215353658
2017-10-30,-0.02457481129951189,2017,10,4,0,30,2446.518862681091,12.875437210191702,2.5553214040541463
2017-11-06,-0.25807388136121023,2017,11,4,0,6,3016.0555215530685,9.946766492067756,2.297247522692936
2017-11-13,0.021333979400859793,2017,11,4,0,13,3198.425275416653,10.161250365858956,2.318581502093796
2017-11-20,-0.03903630880587006,2017,11,4,0,20,3325.7489473208766,9.772234920552565,2.279545193287926
2017-11-27,-0.013238788275906188,2017,11,4,0,27,3318.2233289225624,9.64371497273226,2.2663064050120196
2017-12-04,0.04870106304614552,2017,12,4,0,4,3111.1115620490104,10.124998532438925,2.315007468058165
2017-12-11,0.09651952598132629,2017,12,4,0,11,2842.800582438917,11.150975624468071,2.4115269940394914
2017-12-18,0.17813169500993364,2017,12,4,0,18,2386.451657828295,13.325222782404255,2.589658689049425
2017-12-25,0.24948741543871034,2017,12,4,0,25,2023.2549533018603,17.101156699769533,2.8391461044881354
2018-01-01,0.1498870924451694,2018,1,1,0,1,1791.9643868214214,19.86646624330918,2.989033196933305
2018-01-08,0.01689098554299262,2018,1,1,0,8,1761.9505376058678,20.204880466379695,3.0059241824762974
2018-01-15,-0.08981886197085087,2018,1,1,0,15,1927.5317864768645,18.469215527215532,2.9161053205054466
2018-01-22,-0.03853324172835304,2018,1,1,0,22,1986.374037834192,17.771073990923046,2.8775720787770935
2018-01-29,0.11499101928969413,2018,1,1,0,29,1730.4754995507267,19.936716820872086,2.9925630980667877
2018-02-05,-0.003012540194897717,2018,2,1,0,5,1695.4484523409535,19.87674703614224,2.98955055787189
2018-02-12,0.03378579948325289,2018,2,1,0,12,1653.7148264657371,20.55977212991652,3.023336357355143
2018-02-19,0.06127220621771157,2018,2,1,0,19,1550.8550916031404,21.858908793959014,3.0846085635728544
2018-02-26,0.06037704888997908,2018,2,1,0,26,1408.3086782851265,23.21934140164373,3.1449856124628335
2018-03-05,0.11872088062314079,2018,3,1,0,5,1258.3057392117369,26.146268728465103,3.2637064930859743
2018-03-12,0.184814675773743,2018,3,1,0,12,1058.6941642104157,31.453842975355833,3.4485211688597173
2018-03-19,-0.004369900275520422,2018,3,1,0,19,1072.9102309309123,31.316692703029688,3.444151268584197
2018-03-26,0.10323624942905196,2018,3,1,0,26,1002.2323567763912,34.72248702080595,3.547387518013249
2018-04-02,-0.033734795228177905,2018,4,2,0,2,1075.3434969178447,33.57066844545023,3.513652722785071
2018-04-09,-0.06025815529888101,2018,4,2,0,9,1142.1338349639936,31.60750421261977,3.45339456748619
2018-04-16,-0.058412926220360095,2018,4,2,0,16,1204.128000847129,29.81410612056493,3.39498164126583
2018-04-23,-0.06954350837213763,2018,4,2,0,23,1290.847736484725,27.811180966830335,3.325438132893692
2018-04-30,-0.05860774834816418,2018,4,2,0,30,1387.8258558120538,26.228074543762837,3.266830384545528
2018-05-07,-0.1366732062429339,2018,5,2,0,7,1656.6441069129914,22.87757511818472,3.130157178302594
2018-05-14,-0.08465812125759031,2018,5,2,0,14,1793.4856868931934,21.020519023659837,3.045499057045004
2018-05-21,0.034283943411191675,2018,5,2,0,21,1742.2338499405353,21.753681344954686,3.0797830004561955
2018-05-28,0.08405598195884867,2018,5,2,0,28,1601.7745840728155,23.661256943927818,3.163838982415044
2018-06-04,0.14279665044909606,2018,6,2,0,4,1377.63521582406,27.29314666764584,3.30663563286414
2018-06-11,0.2632647320888277,2018,6,2,0,11,1053.1338514598788,35.51305463038268,3.569900364952968
2018-06-18,0.21120558177737303,2018,6,2,0,18,852.6251796478326,43.86452674954739,3.781105946730341
2018-06-25,0.0528217054317377,2018,6,2,0,25,802.2695081057008,46.24381161836702,3.8339276521620786
2018-07-02,0.08303507420550682,2018,7,3,0,2,738.3437648895748,50.24759707363223,3.9169627263675855
2018-07-09,0.17966132796665502,2018,7,3,0,9,618.5883244544043,60.1369255276689,4.0966240543342405
2018-07-16,0.33363189195619203,2018,7,3,0,16,450.2524544375728,83.95290159432311,4.4302559462904325
2018-07-23,0.37865791644409974,2018,7,3,0,23,305.8767824801177,122.59838650041226,4.808913862734532
2018-07-30,0.07310999888028213,2018,7,3,0,30,284.31203515348636,131.89733589629984,4.882023861614814
2018-08-06,-0.7256607758769089,2018,8,3,0,6,617.1783299086827,63.838923193932615,4.1563630857379055
2018-08-13,-0.3089991063632409,2018,8,3,0,13,845.968603901855,46.86935167229917,3.8473639793746646
2018-08-20,-0.3244867996765186,2018,8,3,0,20,1202.7115828472417,33.88177230615041,3.522877179698146
