Date,Базовый индекс потребительских цен на товары и услуги,Ключевая ставка,Курс доллара
2021-03-31 00:00:00,100.83,4.5,75.7023
2021-04-30 00:00:00,100.58,5.0,74.3823
2021-06-30 00:00:00,100.75,5.5,72.3723
2021-08-31 00:00:00,100.59,6.5,73.5744
2021-09-30 00:00:00,100.81,6.75,72.7608
2021-11-30 00:00:00,101.14,7.5,74.9818
2022-03-31 00:00:00,109.05,20.0,84.0851
2022-05-31 00:00:00,100.4,11.0,63.0975
2022-06-30 00:00:00,100.18,9.5,51.158
2022-08-31 00:00:00,100.0,8.0,60.3677
2022-09-30 00:00:00,100.3,7.5,57.413
2022-11-30 00:00:00,100.18,7.5,61.0742
2023-01-31 00:00:00,100.3,7.5,69.5927
2023-02-28 00:00:00,100.13,7.5,75.4323
2023-03-31 00:00:00,100.37,7.5,77.0863
2023-05-31 00:00:00,100.52,7.5,80.6872
